id,kind,en,pl,sommelier_note
"dish.pod-aniolami.r4-d3.description","dish_description","Slow-cooked duck leg, lentils, and mustard jus.","Wolno pieczone udko kaczki, soczewica i sos musztardowy.",""
"dish.pod-aniolami.r4-d4.description","dish_description","Marseille fish stew with saffron rouille.","Marsylski gulasz rybny z szafranowym rouille.",""
"dish.pod-aniolami.r4-d5.description","dish_description","Tomato tart with confit zucchini and eggplant.","Tarta pomidorowa z konfitowaną cukinią i bakłażanem.",""
"dish.pod-aniolami.r4-d6.description","dish_description","Red wine braised chicken, mushrooms, and pearl onions.","Kurczak duszony w czerwonym winie z grzybami i perłową cebulą.",""
"dish.pod-aniolami.r4-d7.description","dish_description","Pan-seared sole, browned butter, lemon, and parsley.","Smażona sola, masło orzechowe, cytryna i pietruszka.",""
"dish.pod-aniolami.r4-d8.description","dish_description","Tuna, egg, olives, green beans, and anchovy dressing.","Tuńczyk, jajko, oliwki, fasolka szparagowa i sos anchois.",""
"dish.pod-aniolami.r4-d9.description","dish_description","Fresh ravioli, truffle cream, and aged comte.","Świeże ravioli, krem truflowy i dojrzewające comté.",""
"dish.senses-warsaw.r2-d1.description","dish_description","Yellowtail, yuzu kosho, shiso, and citrus soy.","Seriola, yuzu kosho, shiso i sos sojowy z cytrusami.",""
"dish.senses-warsaw.r2-d10.description","dish_description","Burnt cheesecake with ceremonial matcha cream.","Przypalany sernik baskijski z ceremonialnym kremem matcha.",""
"dish.senses-warsaw.r2-d2.description","dish_description","Chef selection of seasonal nigiri, wasabi, and nikiri glaze.","Wybór szefa kuchni — sezonowe nigiri, wasabi i glazura nikiri.",""
"dish.senses-warsaw.r2-d3.description","dish_description","Bluefin tuna, salmon, scallop, and madai sashimi.","Sashimi z tuńczyka błękitnopłetwego, łososia, przegrzebka i madai.",""
"dish.senses-warsaw.r2-d4.description","dish_description","Binchotan grilled chicken thigh with tare and sansho.","Udko kurczaka z grilla binchōtan z sosem tare i pieprzem sanshō.",""
"dish.senses-warsaw.r2-d5.description","dish_description","Saikyo miso marinated cod, pickled daikon, and ginger.","Dorsz marynowany w saikyō miso, kiszony daikon i imbir.",""
"dish.senses-warsaw.r2-d6.description","dish_description","Shrimp and seasonal vegetables in light tempura batter.","Krewetki i sezonowe warzywa w lekkim cieście tempura.",""
"dish.senses-warsaw.r2-d7.description","dish_description","Charcoal grilled eel over rice with tare and sansho.","Węgorz z grilla na węglu drzewnym na ryżu z sosem tare i pieprzem sanshō.",""
"dish.senses-warsaw.r2-d8.description","dish_description","Seared wagyu, ponzu, daikon, and garlic chips.","Smażone wagyu, ponzu, daikon i chipsy czosnkowe.",""
"dish.senses-warsaw.r2-d9.description","dish_description","Chicken broth ramen with chashu, ajitama, and nori.","Ramen na bulionie z kurczaka z chashū, ajitamą i nori.",""
"dish.atelier-amaro.r1-d1.name","dish_name","Pizza Margherita","Pizza Margherita",""
"dish.atelier-amaro.r1-d10.name","dish_name","Tiramisu","Tiramisu",""
"dish.atelier-amaro.r1-d2.name","dish_name","Cacio e Pepe","Cacio e Pepe",""
"dish.atelier-amaro.r1-d3.name","dish_name","Tagliatelle al Ragu","Tagliatelle al ragù",""
"dish.atelier-amaro.r1-d4.name","dish_name","Osso Buco alla Milanese","Osso Buco po mediolańsku",""
"dish.atelier-amaro.r1-d5.name","dish_name","Risotto alla Milanese","Risotto po mediolańsku",""
"dish.atelier-amaro.r1-d6.name","dish_name","Branzino al Forno","Pieczony labraks",""
"dish.atelier-amaro.r1-d7.name","dish_name","Vitello Tonnato","Vitello Tonnato",""
"dish.atelier-amaro.r1-d8.name","dish_name","Melanzane alla Parmigiana","Bakłażan alla Parmigiana",""
"dish.atelier-amaro.r1-d9.name","dish_name","Burrata e Pomodori","Burrata z pomidorami",""
"dish.bottiglieria-1881.r3-d1.name","dish_name","Patatas Bravas","Patatas Bravas",""
"dish.bottiglieria-1881.r3-d10.name","dish_name","Basque Cheesecake","Sernik baskijski",""
"dish.bottiglieria-1881.r3-d2.name","dish_name","Gambas al Ajillo","Gambas al ajillo",""
"dish.bottiglieria-1881.r3-d3.name","dish_name","Tortilla Espanola","Hiszpańska tortilla",""
"dish.bottiglieria-1881.r3-d4.name","dish_name","Pulpo a la Gallega","Pulpo a la Gallega",""
"dish.bottiglieria-1881.r3-d5.name","dish_name","Paella Valenciana","Paella valenciana",""
"dish.bottiglieria-1881.r3-d6.name","dish_name","Bacalao al Pil Pil","Bacalao al Pil Pil",""
"dish.bottiglieria-1881.r3-d7.name","dish_name","Cochinillo Asado","Pieczone prosię",""
"dish.bottiglieria-1881.r3-d8.name","dish_name","Croquetas de Jamon","Krokiety z szynką jamón",""
"dish.bottiglieria-1881.r3-d9.name","dish_name","Chuleton a la Brasa","Chuletón z grilla",""
"dish.brovariusz-wroclaw.r5-d1.name","dish_name","Ceviche Clasico","Ceviche clásico",""
"dish.brovariusz-wroclaw.r5-d10.name","dish_name","Picarones","Picarones",""
"dish.brovariusz-wroclaw.r5-d2.name","dish_name","Tiradito Nikkei","Tiradito Nikkei",""
"dish.brovariusz-wroclaw.r5-d3.name","dish_name","Lomo Saltado","Lomo saltado",""
"dish.brovariusz-wroclaw.r5-d4.name","dish_name","Aji de Gallina","Ají de gallina",""
"dish.brovariusz-wroclaw.r5-d5.name","dish_name","Causa Limena","Causa limeña",""
"dish.brovariusz-wroclaw.r5-d6.name","dish_name","Anticuchos de Corazon","Anticuchos de corazón",""
"dish.brovariusz-wroclaw.r5-d7.name","dish_name","Arroz con Mariscos","Arroz con mariscos",""
"dish.brovariusz-wroclaw.r5-d8.name","dish_name","Seco de Cordero","Seco de cordero",""
"dish.brovariusz-wroclaw.r5-d9.name","dish_name","Tacu Tacu","Tacu tacu",""
"dish.pod-aniolami.r4-d1.name","dish_name","French Onion Soup","Francuska zupa cebulowa",""
"dish.pod-aniolami.r4-d10.name","dish_name","Creme Brulee","Crème brûlée",""
"dish.pod-aniolami.r4-d2.name","dish_name","Steak Frites","Stek z frytkami",""
"dish.pod-aniolami.r4-d3.name","dish_name","Duck Confit","Konfitowana kaczka",""
"dish.pod-aniolami.r4-d4.name","dish_name","Bouillabaisse","Bouillabaisse",""
"dish.pod-aniolami.r4-d5.name","dish_name","Ratatouille Tart","Tarta ratatouille",""
"dish.pod-aniolami.r4-d6.name","dish_name","Coq au Vin","Coq au vin",""
"dish.pod-aniolami.r4-d7.name","dish_name","Sole Meuniere","Sola meunière",""
"dish.pod-aniolami.r4-d8.name","dish_name","Nicoise Salad","Sałatka niçoise",""
"dish.pod-aniolami.r4-d9.name","dish_name","Truffle Brie Ravioli","Ravioli z brie i truflą",""
"dish.senses-warsaw.r2-d1.name","dish_name","Hamachi Crudo","Hamachi Crudo",""
"dish.senses-warsaw.r2-d10.name","dish_name","Matcha Basque Cheesecake","Sernik baskijski matcha",""
"dish.senses-warsaw.r2-d2.name","dish_name","Omakase Nigiri Set","Zestaw nigiri omakase",""
"dish.senses-warsaw.r2-d3.name","dish_name","Sashimi Moriawase","Sashimi moriawase",""
"dish.senses-warsaw.r2-d4.name","dish_name","Yakitori Thigh","Yakitori z udka",""
"dish.senses-warsaw.r2-d5.name","dish_name","Miso Black Cod","Czarny dorsz miso",""
"dish.senses-warsaw.r2-d6.name","dish_name","Tempura Moriawase","Tempura moriawase",""
"dish.senses-warsaw.r2-d7.name","dish_name","Unagi Don","Unagi don",""
"dish.senses-warsaw.r2-d8.name","dish_name","Wagyu Tataki","Wagyu tataki",""
"dish.senses-warsaw.r2-d9.name","dish_name","Shoyu Ramen","Ramen shoyu",""
"kb.base.cierpkosc.desc","kb_base_taste","Wrażenie ściągania na języku. W czerwonych winach pochodzi głównie od garbników (tanin), w białych może pochodzić od młodych owoców.","Wrażenie ściągania na języku. W czerwonych winach pochodzi głównie od garbników (tanin), w białych może pochodzić od młodych owoców.",""
"kb.base.kwasowosc.desc","kb_base_taste","„Świeżość”, ślinienie podniebienia. Wina o wysokiej kwasowości pijemy z radością — odświeżają jak lemoniada.","„Świeżość”, ślinienie podniebienia. Wina o wysokiej kwasowości pijemy z radością — odświeżają jak lemoniada.",""
"kb.base.slodycz.desc","kb_base_taste","Naturalny cukier resztkowy w winie. Od wytrawnych (brak słodyczy) po słodkie wina deserowe.","Naturalny cukier resztkowy w winie. Od wytrawnych (brak słodyczy) po słodkie wina deserowe.",""
"kb.faq.0.a","kb_faq_a","To system opisu wina oparty na 6 wrażeniach zmysłowych (świeże, oleiste, miękkie, tęgie, szorstkie, ziemiste) i 3 podstawowych smakach (słodycz, cierpkość, kwasowość). Każde wrażenie ma 2 tendencje. Po zaznaczeniu intensywności każdej tendencji otrzymujesz unikalny profil smakowy wina — i możesz szukać innych win do niego podobnych.","To system opisu wina oparty na 6 wrażeniach zmysłowych (świeże, oleiste, miękkie, tęgie, szorstkie, ziemiste) i 3 podstawowych smakach (słodycz, cierpkość, kwasowość). Każde wrażenie ma 2 tendencje. Po zaznaczeniu intensywności każdej tendencji otrzymujesz unikalny profil smakowy wina — i możesz szukać innych win do niego podobnych.",""
"kb.faq.1.a","kb_faq_a","Tendencja to skojarzenie, które przeważa w danym wrażeniu. Na przykład wrażenie „świeże” ma 2 tendencje: cytrusy i zielone warzywa/owoce. Każde wrażenie ma 2 wyraźne tendencje — to cała filozofia.","Tendencja to skojarzenie, które przeważa w danym wrażeniu. Na przykład wrażenie „świeże” ma 2 tendencje: cytrusy i zielone warzywa/owoce. Każde wrażenie ma 2 wyraźne tendencje — to cała filozofia.",""
"kb.faq.10.a","kb_faq_a","1) Powiedz kelnerowi swój profil smaku (np. „lubię świeże cytrusowe” albo „lubię tęgie z kawą”). 2) Albo zeskanuj QR Cellar Compass w restauracji — wybierz danie, system pokaże top-3 wina pasujące do dania, z uzasadnieniem. Działa też w drugą stronę: wybierz wino, system zaproponuje dania.","1) Powiedz kelnerowi swój profil smaku (np. „lubię świeże cytrusowe” albo „lubię tęgie z kawą”). 2) Albo zeskanuj QR Cellar Compass w restauracji — wybierz danie, system pokaże top-3 wina pasujące do dania, z uzasadnieniem. Działa też w drugą stronę: wybierz wino, system zaproponuje dania.",""
"kb.faq.11.a","kb_faq_a","Każde wino ma jakąś obecność każdego z 6 wrażeń — ale często z bardzo różną intensywnością. Sauvignon Blanc będzie mocno w „świeże” (cytrusy, zielone) i prawie zero w „tęgie”. Zinfandel z USA — odwrotnie: mocno „tęgie” (suszone owoce), „miękkie” (konfitury), „szorstkie” (dąb).","Każde wino ma jakąś obecność każdego z 6 wrażeń — ale często z bardzo różną intensywnością. Sauvignon Blanc będzie mocno w „świeże” (cytrusy, zielone) i prawie zero w „tęgie”. Zinfandel z USA — odwrotnie: mocno „tęgie” (suszone owoce), „miękkie” (konfitury), „szorstkie” (dąb).",""
"kb.faq.12.a","kb_faq_a","Tak, na początku — to świetny trening. Gdy zatkaniesz nos, wino pokazuje tylko swoje 3 podstawowe smaki: słodycz, cierpkość, kwasowość. Gdy otworzysz nos — eksploduje aromatami z 6 sektorów kompasu. To pokazuje jak nos i język grają w pary.","Tak, na początku — to świetny trening. Gdy zatkaniesz nos, wino pokazuje tylko swoje 3 podstawowe smaki: słodycz, cierpkość, kwasowość. Gdy otworzysz nos — eksploduje aromatami z 6 sektorów kompasu. To pokazuje jak nos i język grają w pary.",""
"kb.faq.13.a","kb_faq_a","Twój kompas to twój profil smaku. Im wyższe „świeże/cytrusy” tym częściej szukaj win cytrusowych. Im wyższe „tęgie/cigaro” tym mocniej idź w wina dojrzałe z beczką. Cellar Compass dopasowuje wina z menu restauracji właśnie pod taki profil — albo pod profil dania.","Twój kompas to twój profil smaku. Im wyższe „świeże/cytrusy” tym częściej szukaj win cytrusowych. Im wyższe „tęgie/cigaro” tym mocniej idź w wina dojrzałe z beczką. Cellar Compass dopasowuje wina z menu restauracji właśnie pod taki profil — albo pod profil dania.",""
"kb.faq.2.a","kb_faq_a","Wrażenie to ogólna kategoria (np. „świeże”). Tendencja to konkretne skojarzenie wewnątrz tej kategorii (np. „cytrusy” albo „zielone warzywa”). Jedno wino może być świeże w stronę cytrusów (jak Riesling), inne świeże w stronę zielonych warzyw (jak Sauvignon Blanc).","Wrażenie to ogólna kategoria (np. „świeże”). Tendencja to konkretne skojarzenie wewnątrz tej kategorii (np. „cytrusy” albo „zielone warzywa”). Jedno wino może być świeże w stronę cytrusów (jak Riesling), inne świeże w stronę zielonych warzyw (jak Sauvignon Blanc).",""
"kb.faq.3.a","kb_faq_a","Cierpkość to uczucie ściągania na języku. W czerwonych winach pochodzi głównie od garbników (tanin) zawartych w skórkach winogron i drewnie beczki. Pomyśl o aronii albo czarnej porzeczce — aż ściąga buzię.","Cierpkość to uczucie ściągania na języku. W czerwonych winach pochodzi głównie od garbników (tanin) zawartych w skórkach winogron i drewnie beczki. Pomyśl o aronii albo czarnej porzeczce — aż ściąga buzię.",""
"kb.faq.4.a","kb_faq_a","Świeże wino jest kwaśne, rześkie, lekkie — jak lemoniada. Oleiste wino jest gęste, lepkie, słodkie — jak masło, orzechy, mango. Świeże orzeźwia, oleiste otula. Można też mieć wino które jednocześnie świeże i lekko oleiste — wtedy zaznacz oba sektory na kompasie z różną intensywnością.","Świeże wino jest kwaśne, rześkie, lekkie — jak lemoniada. Oleiste wino jest gęste, lepkie, słodkie — jak masło, orzechy, mango. Świeże orzeźwia, oleiste otula. Można też mieć wino które jednocześnie świeże i lekko oleiste — wtedy zaznacz oba sektory na kompasie z różną intensywnością.",""
"kb.faq.5.a","kb_faq_a","Miękkie to dojrzałe owoce i konfitury — letnie, przyjemne, owocowe. Tęgie to czekolada, kawa, tytoń i suszone owoce — orientalne, ciężkie, intensywne. Wino miękkie pijemy łatwo, wino tęgie wymaga uwagi i często długiego oddychania w karafce.","Miękkie to dojrzałe owoce i konfitury — letnie, przyjemne, owocowe. Tęgie to czekolada, kawa, tytoń i suszone owoce — orientalne, ciężkie, intensywne. Wino miękkie pijemy łatwo, wino tęgie wymaga uwagi i często długiego oddychania w karafce.",""
"kb.faq.6.a","kb_faq_a","Szorstkie to wrażenie cierpkości, suchości — piżmo, skóra, dąb, dym, garbniki. Ziemiste to wrażenie ziemi, lasu, minerałów. Szorstkie wina mają taniny i drewno; ziemiste mają nuty terroir — kamienia, ściółki leśnej, kwiatów polnych.","Szorstkie to wrażenie cierpkości, suchości — piżmo, skóra, dąb, dym, garbniki. Ziemiste to wrażenie ziemi, lasu, minerałów. Szorstkie wina mają taniny i drewno; ziemiste mają nuty terroir — kamienia, ściółki leśnej, kwiatów polnych.",""
"kb.faq.7.a","kb_faq_a","Szukaj wina z wysokim wskaźnikiem w sektorze „tęgie” (tendencja czekolada/kawa/tytoń) i często też „szorstkie” (dąb, garbniki). To zwykle dojrzałe czerwone wina z beczki: Cabernet Sauvignon, Brunello di Montalcino, Tignanello, Vega Sicilia, Chateauneuf-du-Pape.","Szukaj wina z wysokim wskaźnikiem w sektorze „tęgie” (tendencja czekolada/kawa/tytoń) i często też „szorstkie” (dąb, garbniki). To zwykle dojrzałe czerwone wina z beczki: Cabernet Sauvignon, Brunello di Montalcino, Tignanello, Vega Sicilia, Chateauneuf-du-Pape.",""
"kb.faq.8.a","kb_faq_a","Szukaj wina z wysokim wskaźnikiem w sektorze „świeże” (tendencja cytrusy). Klasyki to Riesling z Alzacji albo Mozeli, Sauvignon Blanc z Loary lub Nowej Zelandii (Cloudy Bay), Albarino z Galicji, Chablis z Burgundii.","Szukaj wina z wysokim wskaźnikiem w sektorze „świeże” (tendencja cytrusy). Klasyki to Riesling z Alzacji albo Mozeli, Sauvignon Blanc z Loary lub Nowej Zelandii (Cloudy Bay), Albarino z Galicji, Chablis z Burgundii.",""
"kb.faq.9.a","kb_faq_a","Sektor „tęgie” (czekolada, kawa, tytoń) — pełne czerwone z dębem. Też dobrze będą wina deserowe ze strony „miękkie/konfitury”: Banyuls, Maury, Porto LBV, Recioto della Valpolicella.","Sektor „tęgie” (czekolada, kawa, tytoń) — pełne czerwone z dębem. Też dobrze będą wina deserowe ze strony „miękkie/konfitury”: Banyuls, Maury, Porto LBV, Recioto della Valpolicella.",""
"kb.faq.0.q","kb_faq_q","Co to jest Vinokompas?","Co to jest Vinokompas?",""
"kb.faq.1.q","kb_faq_q","Co to jest tendencja?","Co to jest tendencja?",""
"kb.faq.10.q","kb_faq_q","Jak korzystać z kompasu w restauracji?","Jak korzystać z kompasu w restauracji?",""
"kb.faq.11.q","kb_faq_q","Czy każde wino ma wszystkie 6 wrażeń?","Czy każde wino ma wszystkie 6 wrażeń?",""
"kb.faq.12.q","kb_faq_q","Czy mam degustować z zatkanym nosem?","Czy mam degustować z zatkanym nosem?",""
"kb.faq.13.q","kb_faq_q","Co znaczy moja kombinacja na kompasie?","Co znaczy moja kombinacja na kompasie?",""
"kb.faq.2.q","kb_faq_q","Jak rozróżnić wrażenia od tendencji?","Jak rozróżnić wrażenia od tendencji?",""
"kb.faq.3.q","kb_faq_q","Co znaczy „cierpkość”?","Co znaczy „cierpkość”?",""
"kb.faq.4.q","kb_faq_q","Czym różni się „świeże” od „oleiste”?","Czym różni się „świeże” od „oleiste”?",""
"kb.faq.5.q","kb_faq_q","Czym różni się „miękkie” od „tęgie”?","Czym różni się „miękkie” od „tęgie”?",""
"kb.faq.6.q","kb_faq_q","Czym różni się „szorstkie” od „ziemiste”?","Czym różni się „szorstkie” od „ziemiste”?",""
"kb.faq.7.q","kb_faq_q","Jakie wino dla kogoś kto lubi tytoń i kawę?","Jakie wino dla kogoś kto lubi tytoń i kawę?",""
"kb.faq.8.q","kb_faq_q","Jakie wino dla kogoś kto lubi cytrusy?","Jakie wino dla kogoś kto lubi cytrusy?",""
"kb.faq.9.q","kb_faq_q","Jakie wino dla kogoś kto lubi czekoladę?","Jakie wino dla kogoś kto lubi czekoladę?",""
"kb.sector.miekkie.long","kb_sector_long","Myślę, że z tym wrażeniem nie będziecie mieć problemów. To skojarzenie z latem i przyjemnościami. Tendencje: dojrzałe owoce i konfitury.","Myślę, że z tym wrażeniem nie będziecie mieć problemów. To skojarzenie z latem i przyjemnościami. Tendencje: dojrzałe owoce i konfitury.",""
"kb.sector.oleiste.long","kb_sector_long","Znajdujemy tu wszystko co gęste, lepkie, słodkie i żywiczne. Mamy tu dwie tendencje: masłowość/tostowość/orzechy oraz owoce tropikalne.","Znajdujemy tu wszystko co gęste, lepkie, słodkie i żywiczne. Mamy tu dwie tendencje: masłowość/tostowość/orzechy oraz owoce tropikalne.",""
"kb.sector.swieze.long","kb_sector_long","Świeżość to wszystko to co kwaśne, cierpkie, ale też odświeżające i rześkie. Łatwe skojarzenie to lemoniada, albo zielony ogórek. Mamy tu dwie tendencje: cytrusy oraz zielone warzywa i owoce.","Świeżość to wszystko to co kwaśne, cierpkie, ale też odświeżające i rześkie. Łatwe skojarzenie to lemoniada, albo zielony ogórek. Mamy tu dwie tendencje: cytrusy oraz zielone warzywa i owoce.",""
"kb.sector.szorstkie.long","kb_sector_long","Wrażenie szorstkości odpowiada za uczucie cierpkości, suchości na języku. Jak sobie je wyobrazić? Powąchajcie skórę, albo kawałek deski. Spróbujcie aronii albo cierpkiej, czarnej porzeczki, która aż ściąga całą buzię w dzióbek. Mamy tu dwie tendencje: piżmo/skóra oraz dąb/dym/garbniki.","Wrażenie szorstkości odpowiada za uczucie cierpkości, suchości na języku. Jak sobie je wyobrazić? Powąchajcie skórę, albo kawałek deski. Spróbujcie aronii albo cierpkiej, czarnej porzeczki, która aż ściąga całą buzię w dzióbek. Mamy tu dwie tendencje: piżmo/skóra oraz dąb/dym/garbniki.",""
"kb.sector.tegie.long","kb_sector_long","To co jest tęgie jest też w odczuciach orientalne, ciepłe, ciężkie, intensywne, gęste i słodkie. Dwie tendencje: czekolada/kawa/tytoń oraz suszone owoce.","To co jest tęgie jest też w odczuciach orientalne, ciepłe, ciężkie, intensywne, gęste i słodkie. Dwie tendencje: czekolada/kawa/tytoń oraz suszone owoce.",""
"kb.sector.ziemiste.long","kb_sector_long","Wrażenie ziemistości najłatwiej pojąć gdy wyobrazimy sobie, że kładziemy się na ziemi. Może to być las, łąka, okolice rzeki, trawnik, pole czy też świeżo wysypana ziemia. Mamy tu dwie tendencje: minerały oraz ściółka leśna.","Wrażenie ziemistości najłatwiej pojąć gdy wyobrazimy sobie, że kładziemy się na ziemi. Może to być las, łąka, okolice rzeki, trawnik, pole czy też świeżo wysypana ziemia. Mamy tu dwie tendencje: minerały oraz ściółka leśna.",""
"kb.sector.miekkie.short","kb_sector_short","Skojarzenie z latem i przyjemnościami. Dojrzałe owoce i konfitury.","Skojarzenie z latem i przyjemnościami. Dojrzałe owoce i konfitury.",""
"kb.sector.oleiste.short","kb_sector_short","Wszystko co gęste, lepkie, słodkie i żywiczne.","Wszystko co gęste, lepkie, słodkie i żywiczne.",""
"kb.sector.swieze.short","kb_sector_short","Wszystko co kwaśne, cierpkie, ale też odświeżające i rześkie. Łatwe skojarzenie to lemoniada albo zielony ogórek.","Wszystko co kwaśne, cierpkie, ale też odświeżające i rześkie. Łatwe skojarzenie to lemoniada albo zielony ogórek.",""
"kb.sector.szorstkie.short","kb_sector_short","Uczucie cierpkości, suchości na języku. Powąchaj skórę albo kawałek deski.","Uczucie cierpkości, suchości na języku. Powąchaj skórę albo kawałek deski.",""
"kb.sector.tegie.short","kb_sector_short","Orientalne, ciepłe, ciężkie, intensywne, gęste i słodkie.","Orientalne, ciepłe, ciężkie, intensywne, gęste i słodkie.",""
"kb.sector.ziemiste.short","kb_sector_short","Wyobraź sobie, że kładziesz się na ziemi: las, łąka, rzeka, świeża ziemia.","Wyobraź sobie, że kładziesz się na ziemi: las, łąka, rzeka, świeża ziemia.",""
"kb.tendencja.miekkie.dojrzale.assoc","kb_tendencja_assoc","w czerwonym: śliwki, wiśnie, maliny, jagody, truskawki, jeżyny, figi, porzeczka. W białym: jabłka, gruszki, morele, agrest","w czerwonym: śliwki, wiśnie, maliny, jagody, truskawki, jeżyny, figi, porzeczka. W białym: jabłka, gruszki, morele, agrest",""
"kb.tendencja.miekkie.konfitury.assoc","kb_tendencja_assoc","konfitury z jabłka, truskawki — owoce upieczone, usmażone, skarmelizowane","konfitury z jabłka, truskawki — owoce upieczone, usmażone, skarmelizowane",""
